File,Total Time (minutes),Coding,Debugging,Testing,FC Flow Complexity,OV Object Vocabulary,OC Object Conjuration,AI Arithmetic Intricacy,DT Data Transfer,CM Comments,CS Code Structure,ID Inline Data,
C:\Users\hande\Downloads\TabsWithSwipeGesture\gen\com\google\android\gms\R.java,1871,969,535,366,0,1020,625,0,105,1,77,41,
C:\Users\hande\Downloads\TabsWithSwipeGesture\gen\info\androidhive\tabsswipe\BuildConfig.java,69,38,19,12,0,51,10,0,0,0,6,0,
C:\Users\hande\Downloads\TabsWithSwipeGesture\gen\info\androidhive\tabsswipe\Manifest.java,86,47,23,15,0,59,14,0,0,1,9,0,
C:\Users\hande\Downloads\TabsWithSwipeGesture\gen\info\androidhive\tabsswipe\R.java,4240,2272,1166,800,0,2218,1402,0,227,165,137,88,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\AboutUs.java,195,104,55,35,5,161,13,0,3,0,12,0,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\adapter\TabsPagerAdapter.java,287,135,95,56,64,161,25,0,11,1,21,2,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\adapter\TabsPagerAdapterWaiter.java,254,121,82,49,54,144,22,0,9,1,20,1,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\AddToCart.java,1013,492,313,207,217,518,128,26,54,1,62,5,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\AdminActivity.java,1139,564,343,230,166,620,165,21,87,4,71,3,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\ApproveOrder.java,507,256,152,99,74,331,46,0,20,1,32,0,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\ApproveUpdates.java,587,297,175,115,74,374,69,0,28,1,38,1,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\AskForBill.java,921,443,287,190,217,476,109,5,51,1,57,3,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\DeleteFromCart.java,808,390,251,166,188,425,90,5,41,1,53,1,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\ExpandableListAdapter.java,1063,508,341,214,183,527,214,10,53,0,74,0,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\FeedbackFragment.java,1062,536,316,210,130,671,121,0,62,2,72,2,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\FileCache.java,504,234,164,106,153,238,54,0,31,0,26,0,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\GcmBroadcastReceiver.java,220,119,60,40,0,178,17,0,10,1,13,0,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\GcmIntentService.java,1173,585,354,233,192,671,134,10,75,8,74,5,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\ImageLoader.java,1976,913,648,414,549,858,313,26,112,2,110,3,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\LoginActivity.java,2901,1396,909,596,584,1351,505,21,201,18,201,17,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\MainActivity.java,1481,737,450,293,203,884,200,5,86,3,93,4,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\MemoryCache.java,338,157,112,68,88,153,50,10,15,0,20,0,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\MenuFragment.java,3532,1662,1132,737,668,1555,676,47,344,5,217,17,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\MyExpListAdapter.java,429,208,137,83,51,238,84,0,10,3,39,1,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\NotifyGCM.java,526,271,152,102,33,340,85,0,31,2,32,1,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\OrderCart.java,2486,1245,740,499,243,1385,436,37,212,6,153,11,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\OrderList.java,1403,702,422,278,190,841,204,5,82,2,73,3,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\PlaceOrder.java,741,360,229,151,160,399,86,5,37,1,49,1,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\SendForBilling.java,405,209,118,78,33,280,44,0,17,0,27,1,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\SpecialsFragment.java,2727,1370,812,544,247,1530,525,42,199,4,171,8,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\SwipeDismissListViewTouchListener.java,3188,1488,1034,665,832,1309,497,89,224,27,199,8,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\SwipeDismissTouchListener.java,2015,957,645,413,489,901,301,47,122,17,130,6,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\UnbilledFragment.java,1758,886,522,349,190,1045,288,5,117,4,103,4,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\UpdateList.java,2309,1148,695,465,257,1241,440,21,180,5,155,9,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\Utils.java,333,151,110,71,114,144,26,5,21,0,20,1,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\ViewOrder.java,1262,642,372,247,131,790,174,10,76,2,70,5,
C:\Users\hande\Downloads\TabsWithSwipeGesture\src\info\androidhive\tabsswipe\WaiterHome.java,1381,683,423,275,203,816,186,0,80,2,89,2,

Entire Project Time,=SUM(B2:B38),=SUM(C2:C38),=SUM(D2:D38),=SUM(E2:E38),=SUM(F2:F38),=SUM(G2:G38),=SUM(H2:H38),=SUM(I2:I38),=SUM(J2:J38),=SUM(K2:K38),=SUM(L2:L38),=SUM(M2:M38),
